Table with row headers in column A and column headers in rows 5 through 7.,,,,,,,,,,,,,,
"Table 12. Reasons for Not Voting, by Selected Characteristics: November 2004",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
(leading dots indicate subparts),,,,,,,,,,,,,,
Characteristic,Total,Percent distribution of reasons for not voting,,,,,,,,,,,,
,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused,
,,,,,,,,,,,,,,
TOTAL,"16,334",15.4,9.0,3.4,10.7,19.9,2.1,9.9,6.8,0.5,3.0,10.9,8.5,
,,,,,,,,,,,,,,
Age,,,,,,,,,,,,,,
.18 to 24 years,"2,695",2.8,12.8,6.1,10.0,23.2,1.9,6.4,8.2,0.1,2.5,10.8,15.2,
.25 to 44 years,"6,525",7.4,8.1,3.4,10.3,27.6,1.5,10.0,8.6,0.3,3.3,11.8,7.6,
.45 to 64 years,"4,333",15.6,10.7,3.0,11.0,17.2,1.5,12.9,5.5,0.4,3.0,10.6,8.6,
.65 years and over,"2,781",45.8,4.5,1.7,11.6,2.9,4.6,8.4,3.7,1.2,2.5,9.0,4.2,
Sex,,,,,,,,,,,,,,
.Male,"7,951",10.7,11.0,3.4,10.6,22.5,0.9,10.1,6.6,0.3,3.1,10.8,10.0,
.Female,"8,383",19.8,7.1,3.5,10.7,17.4,3.3,9.7,7.0,0.6,2.9,10.9,7.2,
Race and Hispanic Origin,,,,,,,,,,,,,,
.White alone,"13,341",15.6,9.4,3.4,10.8,19.4,1.9,10.6,6.8,0.4,3.0,10.9,7.9,
..White non-Hispanic alone,"11,752",16.2,9.9,3.0,10.8,18.9,1.9,11.1,6.2,0.5,3.2,10.8,7.6,
.Black alone,"2,019",16.5,5.5,3.9,10.0,20.7,4.2,6.4,7.2,0.3,2.6,9.8,13.0,
.Asian alone,479,6.1,11.6,1.4,7.9,31.5,1.3,4.4,6.1,1.5,5.5,13.7,9.0,
.Hispanic (of any race),"1,721",10.7,6.3,6.1,10.5,23.5,1.6,7.3,10.9,0.2,1.5,11.6,9.8,
.White alone or in combination,"13,597",15.5,9.4,3.4,10.8,19.3,1.8,10.7,6.8,0.4,2.9,10.9,7.9,
..White non-Hispanic alone or in combination,"11,977",16.1,9.9,3.0,10.8,18.9,1.9,11.2,6.2,0.5,3.1,10.8,7.7,
.Black alone or in combination ,"2,084",16.5,5.9,3.9,9.9,20.6,4.1,6.6,7.3,0.3,2.6,9.5,12.9,
.Asian alone or in combination,528,7.2,10.5,2.1,7.7,31.2,1.2,5.4,5.7,1.3,5.0,13.7,9.1,
Educational attainment,,,,,,,,,,,,,,
.Less than high school graduate,"3,437",25.7,5.5,4.1,12.2,14.4,4.1,8.7,4.5,0.9,2.4,10.3,7.1,
.High school graduate,"6,286",15.1,7.0,2.5,12.5,20.2,2.0,11.3,6.2,0.2,3.1,11.2,8.7,
.Some college,"4,512",9.8,11.1,4.3,8.9,22.5,1.7,9.5,7.8,0.3,3.2,11.1,9.8,
.Bachelors degree or more,"2,099",11.2,16.0,3.1,6.3,22.3,0.4,8.5,10.5,0.9,2.8,10.3,7.8,
Footnotes:,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2004.",,,,,,,,,,,,,,
"Internet Release date: May 25, 2005",,,,,,,,,,,,,,
