Table with row headers in column A and column headers in rows 5 through 7.,,,,,,,,,,,,,
"Table 12. Reasons for Not Voting, by Selected Characteristics: November 2008",,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,
(leading dots indicate subparts),,,,,,,,,,,,,
Characteristic,Total,Percent distribution of reasons for not voting,,,,,,,,,,,
,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
,,,,,,,,,,,,,
TOTAL,"15,167",14.9,8.8,2.6,13.4,17.5,2.6,12.9,6,0.2,2.7,11.3,7
,,,,,,,,,,,,,
Age,,,,,,,,,,,,,
.18 to 24 years,"2,567",3.2,14.2,4.5,12.1,21,2.4,8,9,0.2,2.6,11.6,11.2
.25 to 44 years,"5,819",6.8,8.4,2.8,14.2,24.3,1.4,12.7,7.3,0.1,3,11.7,7.2
.45 to 64 years,"4,201",14.8,8.3,1.8,15.2,14.9,3.4,16.5,4.3,0.1,2.6,12.5,5.8
.65 years and over,"2,581",45.3,5.1,1.3,9.9,3,4.5,12.5,2.6,0.8,2.3,8,4.6
Sex,,,,,,,,,,,,,
.Male,"7,512",10.5,10.5,2.8,14.9,18.4,2,13.1,5.3,0.2,2.9,11.4,7.9
.Female,"7,655",19.3,7.1,2.3,11.9,16.6,3.2,12.7,6.6,0.2,2.4,11.2,6.2
Race and Hispanic Origin,,,,,,,,,,,,,
.White alone,"12,920",15,8.9,2.4,14.1,17.3,2.4,14.2,5.7,0.2,2.5,11,6.3
..White non-Hispanic alone,"11,172",15.6,9.1,2.4,14.1,16.2,2.4,15.2,5.6,0.2,2.3,10.9,6.1
.Black alone,"1,242",20.3,20.3,6.4,3.1,8.5,16.9,4.8,4.3,5.6,1.2,3.3,12.7
.Asian alone,543,6.8,12,2.6,9.4,26.9,1.7,4.5,7.9,-,5.5,11.8,11
.Hispanic (of any race),"1,862",10.8,7.8,2.4,14,24.8,2.5,7.6,7,-,4.1,11.7,7.3
.White alone or in combination,"13,128",15,15,9,2.5,14,17.2,2.5,14.1,5.8,0.2,2.5,11.1
.Black alone or in combination ,"1,286",19.8,19.8,6.2,3.2,8.5,16.4,4.6,4.4,6,1.1,3.5,13.3
.Asian alone or in combination,598,7.2,7.2,12.8,2.4,8.8,26.3,2.4,4.1,8.1,-,5.2,11.4
Educational attainment,,,,,,,,,,,,,
.Less than high school graduate,"2,556",25.6,4,3,13.8,12.2,4.7,13.6,3.2,0.7,3.1,10.8,5.3
.High school graduate,"6,015",14.3,6.8,2.5,15.6,18,2.8,14,5.8,0.2,2.6,10.9,6.6
.Some college,"4,427",10.9,11.1,2.7,11.4,20.2,1.9,11.9,7.2,0,2.5,11.6,8.7
.Bachelors degree or more,"2,169",12.5,15.3,1.9,10.8,16.9,1.4,11.4,7.4,0.3,3,12.4,6.8
Nativity,,,,,,,,,,,,,
.Native-born citizen,"14,162",15,8.6,2.7,13.5,17,2.6,13.4,6,0.3,2.6,11.3,7
.Naturalized citizen,"1,005",14.2,11,1.1,11.1,24.9,2.9,5.8,6.3,-,3.5,11.2,8
Tenure,,,,,,,,,,,,,
