Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,,,
"Table 10.  Reasons For Not Voting, By Selected Characteristics:  November 2014",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
Selected characteristics,,Total not voting1,Percent distribution of reasons for not voting,,,,,,,,,,,
,,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
Total,,"47,593",10.8,9.5,8.3,16.4,28.2,2.1,7.6,2.4,0.4,2.3,9.1,2.9
Age,18 to 24 years,"6,193",2.7,13.6,10.2,17.4,31.7,2.0,3.9,3.2,0.0,2.2,8.0,5.1
,25 to 44 years,"19,194",5.1,7.5,8.7,15.9,37.4,1.4,6.0,2.9,0.2,2.5,9.6,2.8
,45 to 64 years,"15,341",11.1,10.4,7.9,17.3,25.1,2.0,9.7,1.9,0.4,2.6,8.7,2.8
,65 years and over,"6,864",33.7,9.4,6.3,14.6,6.5,4.7,10.6,1.3,1.2,1.0,9.2,1.6
Sex,Male,"21,922",7.5,11.9,7.8,17.0,29.1,1.7,8.0,2.3,0.2,2.3,8.9,3.4
,Female,"25,670",13.7,7.5,8.6,15.8,27.5,2.5,7.3,2.5,0.5,2.2,9.3,2.5
Race and Hispanic Origin,White alone,"37,878",11.1,9.9,7.8,16.8,27.9,1.7,8.1,2.4,0.4,2.3,9.0,2.6
,.White non-Hispanic alone,"32,791",11.5,10.4,7.0,17.2,27.3,1.8,8.3,2.4,0.4,2.1,9.0,2.7
,Black alone,"6,204",11.2,7.6,9.5,14.1,29.5,4.3,5.2,2.3,0.2,2.7,9.5,3.9
,Asian alone,"1,985",5.4,11.4,10.8,13.6,36.1,1.5,3.4,2.4,0.9,2.3,7.5,4.5
,Hispanic (of any race),"5,835",8.8,6.1,12.6,15.6,31.1,1.5,7.1,2.5,0.2,3.4,9.3,2.0
,White alone or in combination,"38,702",11.1,9.8,7.9,16.8,27.7,1.8,8.2,2.5,0.4,2.2,9.0,2.7
,Black alone or in combination,"6,512",11.1,7.3,9.6,14.8,29.0,4.1,5.5,2.2,0.2,2.6,9.5,4.0
,Asian alone or in combination,"2,180",5.3,10.9,10.9,14.0,36.8,1.4,3.3,2.9,0.8,2.1,7.3,4.3
Educational Attainment,Less than high school graduate,"4,592",20.0,7.7,8.6,17.8,15.7,6.1,8.3,2.4,0.4,1.7,9.1,2.2
,High school graduate,"14,787",13.0,6.9,9.0,19.4,24.7,2.5,8.6,1.6,0.4,2.2,8.3,3.3
,Some college,"15,693",9.2,9.8,8.8,15.4,30.6,1.6,7.3,2.2,0.3,2.6,9.3,2.9
,Bachelors degree or more,"12,521",6.9,12.9,6.5,13.4,34.0,0.9,6.6,3.6,0.5,2.2,9.7,2.8
Nativity,Native-born citizen,"43,572",11.1,9.5,8.2,16.7,27.7,2.2,7.7,2.4,0.4,2.2,9.1,2.9
,Naturalized citizen,"4,020",8.6,10.0,8.5,12.9,33.6,1.5,6.8,2.8,0.4,2.7,8.7,3.5
Duration of Residence,Less than 1 year,"7,101",4.7,9.6,9.0,15.0,30.7,2.7,5.9,7.9,0.2,2.2,9.9,2.3
,1 to 2 years,"7,413",6.8,9.1,8.5,16.7,33.8,1.7,6.5,3.5,0.3,2.2,8.7,2.1
,3 years or longer,"32,361",13.1,9.7,8.2,16.6,26.5,2.2,8.3,0.9,0.5,2.3,8.9,2.9
,Don't know or refused,718,11.8,6.2,1.4,17.9,26.2,0.5,3.9,2.2,0.4,1.3,10.8,17.4
Region,Northeast,"9,073",12.9,9.7,6.3,17.8,28.0,1.4,7.9,2.5,0.3,1.9,8.2,3.1
,Midwest,"11,026",10.5,9.1,7.0,17.6,28.6,2.8,7.8,1.2,0.4,2.1,9.6,3.2
,South,"18,466",11.7,10.2,7.0,15.3,28.7,2.6,7.7,2.8,0.6,2.8,8.4,2.3
,West,"9,027",7.4,8.3,14.4,15.6,27.1,1.1,6.7,2.8,0.0,1.9,10.7,3.9
Income,Total family members,"34,153",10.2,9.8,8.5,16.5,29.4,1.6,7.4,1.9,0.3,2.5,8.7,3.2
,"Less than $10,000","1,316",11.6,5.1,8.3,22.2,23.9,8.3,5.6,2.8,0.3,1.7,9.0,1.3
,"$10,000 to $14,999","1,081",16.0,5.7,11.8,17.9,21.0,4.7,7.8,2.4,0.5,1.9,7.1,3.3
,"$15,000 to $19,999",964,18.5,1.9,14.3,18.0,20.4,4.1,6.5,3.6,0.2,3.1,7.9,1.4
,"$20,000 to $29,999","2,967",16.0,5.6,10.0,15.3,24.1,3.0,8.9,2.4,0.6,2.0,9.2,3.0
,"$30,000 to $39,999","3,037",14.2,6.9,9.8,16.8,25.0,2.0,8.1,1.3,0.3,2.4,10.7,2.4
,"$40,000 to $49,999","2,491",11.3,8.7,9.0,17.3,30.1,1.0,6.4,1.9,0.5,3.2,8.8,1.8
,"$50,000 to $74,999","6,085",9.1,8.5,8.7,17.3,31.7,0.7,7.9,1.8,0.1,2.7,8.2,3.2
,"$75,000 to $99,999","4,031",5.6,11.8,9.3,15.9,31.9,1.0,8.1,1.6,0.3,2.4,8.8,3.3
,"$100,000 to $149,999","4,031",6.0,12.6,7.4,16.1,33.5,0.8,6.4,2.1,0.0,2.6,9.9,2.6
,"$150,000 and over","3,648",4.8,18.3,6.2,14.3,35.2,0.4,5.7,1.9,0.8,2.7,7.0,2.7
,Income not reported,"4,502",13.0,9.5,6.4,15.8,27.5,1.3,7.7,1.5,0.2,2.3,8.1,6.6
 ,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2014.",,,,,,,,,,,,,,
