"Table with row headers in columns A and B, and column headers in rows 5 through 6 and rows 60 through 61.",,,,,,,,,,,,,,
"Table 10. Reasons For Not Voting, By Selected Characteristics: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Selected characteristics,,Total not voting1 ,Percent distribution of reasons for not voting,,,,,,,,,,,
,,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
TOTAL, ,"18,933",11.7,7.9,3.0,15.4,14.3,2.6,24.8,4.4,-,2.1,11.1,2.7
Age,18 to 24 years,"3,042",2.7,13.2,4.7,17.3,18.3,1.5,20.6,5.5,-,2.3,10.8,3.1
,25 to 44 years,"7,246",4.7,7.1,2.4,17.2,19.2,2.0,25.2,6.0,-,2.3,11.5,2.6
,45 to 64 years,"5,420",12.7,7.8,3.4,15.1,12.4,2.5,27.5,2.6,0.1,2.5,10.6,2.9
,65 years and over,"3,225",33.9,5.1,2.1,10.3,2.8,5.1,23.1,2.9,0.1,1.1,11.5,2.1
Sex,Male,"9,366",8.3,9.9,2.8,16.8,16.0,2.0,25.1,3.9,0.1,2.3,9.8,2.9
,Female,"9,567",15.0,5.9,3.1,14.0,12.6,3.2,24.4,4.9,-,2.0,12.4,2.4
Race and Hispanic origin,White alone,"14,766",12.1,8.1,2.8,14.5,14.4,2.4,25.9,4.5,0.1,2.1,10.6,2.6
,White non-Hispanic alone,"12,633",12.8,8.3,2.7,14.3,13.9,2.7,26.0,4.4,0.1,2.0,10.2,2.6
,Black alone,"2,645",11.7,6.7,3.7,18.6,13.5,4.5,19.6,4.0,-,2.6,12.4,2.7
,Asian alone,712,6.5,11.0,2.8,17.0,16.2,1.0,22.3,3.3,0.1,0.9,13.8,5.2
,Hispanic (of any race),"2,403",7.3,7.6,3.3,16.5,16.2,0.6,25.2,5.4,-,3.2,12.2,2.4
,White alone or in combination,"15,120",12.0,8.1,2.8,14.6,14.4,2.4,26.0,4.5,0.1,2.1,10.6,2.5
,Black alone or in combination,"2,824",11.3,6.5,3.5,18.9,13.7,4.3,20.5,3.7,-,2.5,12.5,2.6
,Asian alone or in combination,798,6.4,11.2,2.5,18.1,15.7,0.9,21.4,2.9,0.1,1.5,14.1,5.3
Educational attainment,Less than high school graduate,"2,214",19.7,3.8,4.4,13.8,10.3,5.7,23.1,3.0,-,1.6,12.9,1.7
,High school graduate,"6,852",13.4,6.5,3.0,17.4,13.1,2.9,24.0,4.0,0.1,2.3,10.5,2.6
,Some College,"6,154",8.7,7.8,2.6,15.4,16.7,2.1,26.1,4.5,-,1.8,11.6,2.7
,Bachelors Degree or more,"3,712",8.6,13.2,2.8,12.7,14.9,1.0,24.9,5.7,-,2.6,10.4,3.3
Nativity,Native-born citizen,"17,531",11.7,7.6,3.1,15.4,14.2,2.7,25.0,4.4,0.1,2.2,11.1,2.4
,Naturalized citizen,"1,402",11.0,11.3,1.6,15.3,15.5,0.8,22.3,3.7,-,1.3,11.6,5.5
Duration of residence,Less than 1 year,"3,565",6.6,9.6,3.0,13.7,14.9,2.6,21.6,10.6,-,2.1,13.0,2.3
,1 to 2 years,"2,982",8.1,6.2,3.2,15.5,18.1,3.3,25.6,5.1,-,2.6,9.5,2.7
,3 years or longer,"12,104",14.2,7.9,3.0,15.8,13.3,2.4,25.7,2.4,0.1,2.0,10.9,2.4
,"Don't know, refused",282,5.7,5.6,2.5,20.7,10.1,3.2,16.4,4.1,-,1.3,13.1,17.3
Region,Northeast,"3,235",14.3,10.6,2.4,14.3,12.3,2.7,23.6,3.8,0.1,2.2,10.5,3.5
,Midwest,"4,289",11.4,7.3,2.0,15.6,15.3,3.3,27.8,3.1,-,2.1,10.2,2.0
,South,"7,870",12.5,7.4,3.1,14.9,15.0,2.9,23.7,4.9,0.1,2.6,11.0,2.0
,West,"3,540",7.8,7.3,4.5,17.5,13.4,1.0,24.4,5.4,-,1.2,13.1,4.2
Family income2 ,Total in families,"12,583",11.1,8.0,2.9,16.4,15.5,1.7,23.8,4.1,0.1,2.4,11.1,2.9
,"Under $10,000",659,15.7,3.1,4.8,20.5,11.3,7.8,21.3,3.9,0.4,3.1,6.9,1.3
,"$10,000 to $14,999",517,16.9,5.1,1.2,19.5,10.0,8.6,20.6,2.4,-,0.2,13.1,2.4
