,index,Selected Characteristics,Characteristic Breakdown,Not Voting (in thousands),Illness or Disability (%),Out of Town (%),Forgot to Vote (%),Not Interested (%),"Too Busy, Conflicting Schedule (%)",Transporation Problems (%),Did Not Like Candidates or Campaign Issues (%),Registration Problems (%),Bad Weather Conditions (%),Inconvenient Polling Place (%),Other Reason (%),Dont Know or Refused (%)
0,0,TOTAL,TOTAL,39728,12.4,10.7,5.7,11.5,27.3,2.0,7.3,3.9,0.6,2.5,9.1,7.2
1,1,Age,18 to 24 years,6030,2.7,13.9,6.3,11.7,29.5,1.3,4.3,5.3,0.3,3.1,7.9,13.6
2,2,Age,25 to 44 years,16883,6.1,9.1,5.9,12.4,34.9,1.6,6.3,4.5,0.4,2.7,9.3,6.7
3,3,Age,45 to 64 years,11446,12.4,12.4,5.4,11.3,25.3,1.6,9.9,2.7,0.7,2.5,9.4,6.3
4,4,Age,65 years and over,5369,42.8,8.4,4.5,8.8,5.3,4.6,8.5,2.5,1.1,1.1,9.1,3.2
5,5,Sex,Male,18307,8.3,13.3,5.5,11.9,28.1,1.3,7.6,3.8,0.3,2.7,8.7,8.5
6,6,Sex,Female,21421,15.8,8.5,5.8,11.2,26.7,2.6,7.1,3.9,0.7,2.3,9.5,6.0
7,7,Race and Hispanic Origin,White alone,32748,12.4,11.0,5.3,11.7,27.7,1.7,7.8,3.8,0.5,2.4,9.0,6.6
8,8,Race and Hispanic origin,White non-Hispanic alone,29340,12.5,11.5,4.6,11.7,27.2,1.6,8.1,3.9,0.6,2.4,9.1,6.8
9,9,Race and Hispanic origin,Black alone,4828,13.1,7.6,7.5,11.2,24.4,4.1,5.6,3.6,0.7,2.7,9.7,9.9
10,10,Race and Hispanic origin,Asian alone,1100,7.7,13.7,7.1,7.5,28.0,0.7,5.0,4.9,0.2,2.7,10.6,11.9
11,11,Race and Hispanic origin,Hispanic (of any race),3708,11.3,7.4,11.0,11.8,31.1,2.0,4.8,2.8,0.0,3.1,8.7,6.0
